P00445	BioCyc	YEAST:MONOMER3O-1629
P00447	BioCyc	YEAST:MONOMER3O-1642
P00899	BioCyc	YEAST:MONOMER3O-30
P06169	BioCyc	YEAST:MONOMER3O-117
P06700	BioCyc	YEAST:MONOMER3O-4152
P07143	BioCyc	YEAST:MONOMER3O-103
P07250	BioCyc	YEAST:MONOMER3O-64
P07342	BioCyc	YEAST:MONOMER3O-29
P0CT04	BioCyc	YEAST:MONOMER3O-39566
P15454	BioCyc	YEAST:MONOMER3O-102
P17695	BioCyc	YEAST:MONOMER3O-490
P19358	BioCyc	YEAST:MONOMER3O-1014
P20133	BioCyc	YEAST:MONOMER3O-1
P22007	BioCyc	YEAST:MONOMER3O-269
P22217	BioCyc	YEAST:MONOMER3O-46
P22803	BioCyc	YEAST:MONOMER3O-68
P25087	BioCyc	YEAST:MONOMER3O-188
P28496	BioCyc	YEAST:MONOMER3O-373
P29703	BioCyc	YEAST:MONOMER3O-38
P32318	BioCyc	YEAST:MONOMER3O-153
P32452	BioCyc	YEAST:MONOMER3O-279
P32626	BioCyc	YEAST:MONOMER3O-175
P32784	BioCyc	YEAST:MONOMER3O-4105
P33300	BioCyc	YEAST:MONOMER3O-703
P33312	BioCyc	YEAST:MONOMER3O-27
P35206	BioCyc	YEAST:MONOMER3O-695
P36024	BioCyc	YEAST:MONOMER3O-474
P36076	BioCyc	YEAST:MONOMER3O-299
P36107	BioCyc	YEAST:MONOMER3O-630
P36143	BioCyc	YEAST:MONOMER3O-4054
P36148	BioCyc	YEAST:MONOMER3O-4095
P37297	BioCyc	YEAST:MONOMER3O-365
P38115	BioCyc	YEAST:MONOMER3O-32366
P38115	BioCyc	YEAST:MONOMER3O-32367
P38122	BioCyc	YEAST:MONOMER3O-90
P38145	BioCyc	YEAST:MONOMER3O-75
P38242	BioCyc	YEAST:MONOMER3O-23
P38286	BioCyc	YEAST:MONOMER3O-79
P38426	BioCyc	YEAST:MONOMER3O-4030
P38427	BioCyc	YEAST:MONOMER3O-4029
P38703	BioCyc	YEAST:MONOMER3O-370
P38787	BioCyc	YEAST:MONOMER3O-214
P38795	BioCyc	YEAST:MONOMER3O-845
P38858	BioCyc	YEAST:MONOMER3O-4032
P38999	BioCyc	YEAST:MONOMER3O-363
P39692	BioCyc	YEAST:MONOMER3O-21
P39988	BioCyc	YEAST:MONOMER3O-37
P40030	BioCyc	YEAST:MONOMER3O-271
P40319	BioCyc	YEAST:MONOMER3O-70
P40506	BioCyc	YEAST:MONOMER3O-285
P40857	BioCyc	YEAST:MONOMER3O-85
P41735	BioCyc	YEAST:MONOMER3O-164
P42837	BioCyc	YEAST:MONOMER3O-86
P42883	BioCyc	YEAST:MONOMER3O-9140
P42951	BioCyc	YEAST:MONOMER3O-352
P43534	BioCyc	YEAST:MONOMER3O-3915
P43567	BioCyc	YEAST:MONOMER3O-372
P43616	BioCyc	YEAST:MONOMER3O-4
P47011	BioCyc	YEAST:MONOMER3O-4031
P47013	BioCyc	YEAST:MONOMER3O-419
P47147	BioCyc	YEAST:MONOMER3O-76
P47169	BioCyc	YEAST:MONOMER3O-22
P47183	BioCyc	YEAST:MONOMER3O-9135
P50942	BioCyc	YEAST:MONOMER3O-69
P53178	BioCyc	YEAST:MONOMER3O-20
P53315	BioCyc	YEAST:MONOMER3O-4047
P53332	BioCyc	YEAST:MONOMER3O-487
P53730	BioCyc	YEAST:MONOMER3O-256
P53915	BioCyc	YEAST:MONOMER3O-4139
P53954	BioCyc	YEAST:MONOMER3O-36
P54781	BioCyc	YEAST:MONOMER3O-232
Q00618	BioCyc	YEAST:MONOMER3O-3
Q00955	BioCyc	YEAST:MONOMER3O-7
Q03266	BioCyc	YEAST:MONOMER3O-131
Q03579	BioCyc	YEAST:MONOMER3O-702
Q03677	BioCyc	YEAST:MONOMER3O-186
Q03835	BioCyc	YEAST:MONOMER3O-100
Q03941	BioCyc	YEAST:MONOMER3O-504
Q04066	BioCyc	YEAST:MONOMER3O-17
Q04212	BioCyc	YEAST:MONOMER3O-32
Q04430	BioCyc	YEAST:MONOMER3O-268
Q05533	BioCyc	YEAST:MONOMER3O-11
Q06408	BioCyc	YEAST:MONOMER3O-398
Q06685	BioCyc	YEAST:MONOMER3O-224
Q07471	BioCyc	YEAST:MONOMER3O-409
Q07729	BioCyc	YEAST:MONOMER3O-12
Q07748	BioCyc	YEAST:MONOMER3O-9145
Q07938	BioCyc	YEAST:MONOMER3O-157
Q08224	BioCyc	YEAST:MONOMER3O-77
Q08438	BioCyc	YEAST:MONOMER3O-317
Q08975	BioCyc	YEAST:MONOMER3O-81
Q12166	BioCyc	YEAST:MONOMER3O-59
Q99258	BioCyc	YEAST:MONOMER3O-89
Q99312	BioCyc	YEAST:MONOMER3O-10
Q99337	BioCyc	YEAST:MONOMER3O-39568
